COUNTYGEOID,C01,C02,C03,C04,C05
02230,-49249.85420977494,-33997.77440700566,-10768.83763803016,-40211.76354017749,33023.00689199263
02240,-49249.85420977449,-33997.7744070057,-10768.837638026358,-40211.76354013601,33023.006892020545
02261,-49249.85396416386,-33997.77443208649,-10768.837179386168,-40211.76059169892,33023.00833530587
02275,-49249.85420977451,-33997.774407005694,-10768.83763802662,-40211.76354014228,33023.00689201619
02282,-49249.85420977465,-33997.774407005694,-10768.837638027211,-40211.76354014918,33023.00689201202
02290,-49249.85420977443,-33997.77440700571,-10768.837638025972,-40211.763540135405,33023.00689202055
01001,-5464.405971307302,-40874.228546344406,140576.31650313805,813270.9806143551,-1289651.0830363114
01003,-49132.29081734676,-34016.28121519417,-9821.520094058798,-39850.76069584551,33101.25631414528
01005,-49249.716983016704,-33997.78895417749,-10768.910904257235,-40210.849827353755,33021.35542672723
01007,-49249.83948136575,-33997.77591101206,-10768.810134981471,-40211.586732077136,33023.09344119987
01009,-49249.54628256474,-33997.18591765001,-10769.242545516558,-40210.99235787644,33023.55345001139
01011,-49249.854209774596,-33997.774407005694,-10768.837638027117,-40211.76354014797,33023.00689201269
01013,-49249.85164148085,-33997.774642240736,-10768.82227413806,-40211.61620332909,33023.06796240116
01015,-49146.87351836218,-34008.06456964277,-10039.56277454216,-32563.87509344403,37908.85399733627
01017,-49192.155797220796,-34006.83326787447,-10569.531802450321,-39087.50363047776,31280.64528345998
01019,-49241.704564099935,-33911.64116799482,-10764.680704968212,-40208.3006043695,33006.22885671469
01021,-49249.85411078544,-33997.77441749952,-10768.83769087775,-40211.762881043294,33023.00570073908
01023,-32873.190693666365,-36550.77030403473,45793.24090845821,278850.74701560737,-461386.7124183295
01025,-35049.383829472186,-36199.50528518882,36891.55722020157,231263.3991174525,-387604.099900394
01027,-49249.81396162094,-33997.69758774529,-10768.869097318524,-40211.35767539029,33022.96884737363
01029,-49249.7240733872,-33997.52569927111,-10769.008760280229,-40211.43762262185,33023.23787869041
01031,-49249.85127153596,-33997.74514817121,-10768.831840476736,-40211.72272676419,33023.038375409335
01033,-48309.51787939528,-26276.137101641194,-9705.199035732143,-35674.98583284566,26256.04188627665
01035,-49240.59687761251,-33997.777088364164,-10763.059175888366,-39570.44597896812,30766.07371644674
01037,-49249.74559804421,-33997.78549800239,-10768.634822270447,-40210.45970408108,33023.64513183605
01039,-49249.69420297046,-33996.437077923714,-10768.834394263371,-40211.63150090247,33022.83633656083
01041,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
01043,-47310.45637233803,-34296.95708949357,-105.58064745578244,-19754.045185379782,6234.123198487803
01045,-49249.00780411803,-33995.80635306209,-10767.445004230462,-40203.61275048341,33026.29928197904
01047,-37360.833779434026,-35847.55603477835,30284.844231143295,191386.96757864277,-325839.17235455057
01049,-49249.833502995374,-33997.75557401442,-10768.64711074345,-40209.89425321366,33023.968704889194
01051,-49139.498188510806,-34014.35232771704,-9880.171200494911,-39888.5213662727,33089.14131911556
01053,-27305.88838240441,-37442.28158729899,65083.85486066753,387614.8140318137,-629757.2243128484
01055,-49244.63286275423,-33961.77343655381,-10763.326529565893,-40185.63517050427,33032.32018096788
01057,-49249.821346253826,-33997.674448929196,-10768.865719615364,-40211.6292148896,33023.10622269793
01059,-49249.82257622406,-33997.75719713224,-10768.862489533227,-40211.595256416615,33022.76697084265
01061,-49249.85406193366,-33997.774422678296,-10768.837716959948,-40211.7625557716,33023.005112837374
01063,-47983.92086616304,-19498.865796489867,-9731.180468659692,-39289.48700968836,28584.454093299795
01065,-49249.850108667604,-33997.77484176396,-10768.839827626216,-40211.736233574564,33022.95753767388
01067,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
01069,-49021.27463118069,-31882.264277144655,-10756.230588594623,-40213.090919767994,33036.094131263315
01071,-15050.293179419741,-10710.57395673684,100945.46300711943,580116.8485461519,-934230.485577348
01073,-44598.826526594166,13550.601400732989,-7984.676536576086,-35948.25450620125,24191.43174381215
01075,-49249.85409689222,-33997.77324874143,-10768.83740256024,-40211.76193767759,33023.008132522475
01077,-49247.4788755581,-33974.537592707195,-10768.278233472078,-40211.39263955282,33021.16219615484
01079,-31596.347220843803,-36768.760959701016,50246.610850320925,303881.15865956096,-500218.9329580906
01081,-49249.312533897675,-33994.97733433021,-10768.725685167632,-40208.4859515746,33023.63713878398
01083,-49249.7763859222,-33997.77183296835,-10768.69264385272,-40210.82825496887,33023.46522308599
01085,-49232.86439550133,-34003.79328829062,-10553.561489411066,-37877.22537784827,33674.138448814374
01087,-49249.854209774574,-33997.774407005694,-10768.837638027027,-40211.76354014696,33023.00689201327
