component,eigenvalue
1,515.7716511364218
2,208.35281259433322
3,174.53807306570533
4,136.3596320345914
5,128.6337904369752
6,79.28049654285881
7,70.5775619083634
8,67.90336731005131
9,54.328571225781175
10,51.61598936250189
11,47.953529393894165
12,46.72794250155324
13,44.37674065103953
14,43.84482003494841
15,39.0794693455
16,37.068698511501644
17,33.82805117600023
18,33.32828537511627
19,33.137877415541745
20,31.58944335634909
21,31.042812817422448
22,29.61085793071256
23,28.668419914455633
24,28.356872066479006
25,27.319392728737192
26,25.060986894628787
27,24.487701752592255
28,23.979033192062598
29,23.698839562886487
30,23.18951337683956
31,22.467937777374765
32,21.812610366197866
33,21.564370935322398
34,19.94822334773283
35,17.534932189085765
36,17.019108114919696
37,16.67738301863627
38,16.323131524944642
39,15.384041097379106
40,14.555999946380863
41,14.352910199021654
42,14.241261432502165
43,14.167920565400298
44,13.870752948118419
45,13.47400376431684
46,13.358848967659776
47,13.016811384124232
48,12.762702085774587
49,12.585157771134899
50,12.229697769640607
51,12.065081043397585
52,11.85244002550691
53,11.74712639455303
54,11.589099865032576
55,11.353871829997345
56,11.059955570957781
57,10.773175116072453
58,10.326751932618913
59,10.230483561612887
60,9.861940949513908
61,9.408896349189092
62,9.340912855004097
63,9.181329710779252
64,9.001831334609163
65,8.794772310427641
66,8.70091205119218
67,8.557968714361241
68,8.4629701935574
69,8.274157716346597
70,8.149104156116856
71,8.004132197920102
72,7.868243239401006
73,7.773165290818975
74,7.663782712414508
75,7.461867925876673
76,7.341959197300175
77,7.233760049678138
78,7.0840494229096995
79,7.068913541361006
80,6.96122266439553
81,6.86581398964606
82,6.712475562460682
83,6.543377420387426
84,6.519587900046692
85,6.40958291597536
86,6.242407998811113
87,6.0003437215854305
88,5.9202628482529995
89,5.758411084554497
90,5.684433757508718
91,5.613360750983677
92,5.5841003436970125
93,5.4104096550013425
94,5.372807477401145
95,5.244307695116407
96,5.136083276155301
97,5.099942871933574
98,4.836687082656964
99,4.640271231121936
100,4.578994354387037
101,4.448190131037249
102,4.308795324468858
103,4.160350290985371
104,4.109584305302846
105,4.053351133822605
106,3.9319066043961826
107,3.9115509509789543
108,3.894852180773022
109,3.8280888331455176
110,3.75996807572982
111,3.7171391196623635
112,3.660621754882114
113,3.545412817994212
114,3.537618242813283
115,3.456392919790156
116,3.332865981264687
117,3.271791405251365
118,3.206441780847001
119,3.181478425994479
120,2.9201203480870155
121,2.9054087252572436
122,2.892754260324831
123,2.846817048295561
124,2.7381293082183573
125,2.6620795294884467
126,2.5766974814204415
127,2.557298009549886
128,2.491678314765609
129,2.4616490535439874
130,2.411090628492268
131,2.3810929896835646
132,2.358937349971236
133,2.3164838462027277
134,2.1828020231027363
135,2.1659624751738114
136,2.1421883801980712
137,2.1167875807166046
138,2.1027812860130974
139,2.042751321730911
140,2.023662519374595
141,1.9303799348989368
142,1.6755567388065253
143,1.6496740366468174
144,1.6320907675873841
145,1.5903315515734675
146,1.5417670064726368
147,1.4329307713089776
148,1.4008218886262578
149,1.3782309459714228
150,1.3433469662555568
151,1.3277142963491764
152,1.2540274463871992
153,1.2157557544701083
154,1.2073708615215
155,1.195026327383238
156,1.156507948396094
157,1.1280357432198609
158,1.1132317775497362
159,1.0739716496275553
160,1.0665451444435403
161,1.0073365319966976
162,0.997757472207026
163,0.9952218110274363
164,0.9903036696869062
165,0.9859030928041199
166,0.9744834489545575
167,0.957112443442125
168,0.897846114682713
169,0.8933677858172578
170,0.8810925944181976
171,0.8702302411876957
172,0.8215033162438918
173,0.774058102850512
174,0.7229937441940112
175,0.7213728296766692
176,0.7007309203157178
177,0.6274848032670192
178,0.5405289057725049
179,0.53766585229191
180,0.5162019579156458
181,0.48294774613543123
182,0.47760691393671845
183,0.4208449531041119
184,0.4063683638109302
185,0.402045529259116
186,0.38039036051604797
187,0.3759197606453328
188,0.3711346845496326
189,0.35347647041546104
190,0.33650013908916115
191,0.3092145132511986
192,0.2847239084863229
193,0.27519208408421786
194,0.27214539874179755
195,0.25424853788597734
196,0.2434038941561252
197,0.23159724837086115
198,0.22534232161209974
199,0.22160765080228795
200,0.177431520181545
201,0.17238016566964956
202,0.1566136129952316
203,0.15188682889147576
204,0.1501282163239206
205,0.13691500868312526
206,0.1329353409580208
207,0.1038246077651332
208,0.09707244005344269
209,0.09003908093729802
210,0.0785857958217004
211,0.07660065712751048
212,0.07168230178209373
213,0.06737181707629958
214,0.06684213380586079
215,0.062129743258129276
216,0.0557486030408853
217,0.05397860818647488
218,0.05362931679710123
219,0.05328227931151925
220,0.04195498717538329
221,0.041293507645295324
222,0.03715062783404495
223,0.03571556894165257
224,0.03564404928813024
225,0.03487701653069671
226,0.033133642884677905
227,0.03200554596738938
228,0.030678165828879535
229,0.030364463630165123
230,0.029125716545741746
231,0.028307293445924055
232,0.026373561109763837
233,0.025027923294336632
234,0.024615012753242082
235,0.023854952091624578
236,0.023210483035437674
237,0.02226846884799311
238,0.021727037623515136
239,0.018487204834951424
240,0.017927356079841607
241,0.01704226167446895
242,0.0157092832898503
243,0.015149564964440608
244,0.014736074673092769
245,0.012287995889385256
246,0.011475341703135501
247,0.011188338544230812
248,0.010931217647732848
249,0.009850760445631459
250,0.008525547044151953
251,0.0075010736000497335
252,0.007323859982236039
253,0.006701600676879245
254,0.0065057030783678155
255,0.0064721225459952614
256,0.006154321019381167
257,0.00517233925328835
258,0.004934434244111988
259,0.004710549446468928
260,0.004615952218762438
261,0.00456186035813428
262,0.004457327956485618
263,0.004051449320143613
264,0.0031729280529344613
265,0.0031358279004720232
266,0.0030806334510385096
267,0.002711786001423575
268,0.00252096799263655
269,0.0024799308690596302
270,0.002407183780599389
271,0.0022036783532604965
272,0.0021166680009401225
273,0.002056291427476931
274,0.0018224233057903651
275,0.0017993962912696987
276,0.001721492372416334
277,0.0017167901040495964
278,0.0015766118827626005
279,0.001504792696320579
280,0.0014685828297697954
281,0.0013658130432163014
282,0.0012379381820480605
283,0.001192033341601132
284,0.0011427994179138055
285,0.001081101896334868
286,0.0010710429139669608
287,0.00105730933204337
288,0.0010195437667238326
289,0.0010050762605979973
290,0.000879431278083512
291,0.0008743375547699101
292,0.0007899543826202738
293,0.0007604555747119743
294,0.0007168842594689973
295,0.0006987229127801222
296,0.0006696988769070093
297,0.0006359834683202192
298,0.0006082155345299134
299,0.0005890517349808734
300,0.0005306580304103117
301,0.0005207311664608379
302,0.00041972580538795134
303,0.00040155537885072727
304,0.00031302282318746664
305,0.0002846255036505604
306,0.00025610101659914394
307,0.0002210119958002875
308,0.0002073519056217967
309,0.00020357508803492793
310,0.00020157356481256657
311,0.0001950607334983429
312,0.00018842735343805025
313,0.00017825517890749572
314,0.00017318956279903903
315,0.0001370717938854775
316,0.00012307323320452266
317,0.00011371963131243043
318,0.00010299888810313662
319,0.00010039178667295878
320,9.436001156688653e-05
321,9.283742165155992e-05
322,8.648514465014475e-05
323,7.754197355031747e-05
324,7.686688139091035e-05
325,7.187220604118848e-05
326,6.970509857675201e-05
327,6.871841948113918e-05
328,5.213769106371399e-05
329,5.029825801985446e-05
330,5.007115404615153e-05
331,4.884872642341916e-05
332,4.59196617224507e-05
333,4.394388518528918e-05
334,3.930938848104962e-05
335,3.7053786555754426e-05
336,2.8420915340030676e-05
337,2.7048705092297793e-05
338,2.6724042528466666e-05
339,2.551114219646145e-05
340,2.2664522826003284e-05
341,2.1804752290150144e-05
342,2.1180255283917314e-05
343,1.839798429608238e-05
344,1.6076663637841607e-05
345,1.5403486849438352e-05
346,1.4151166761481838e-05
347,1.3194011920429492e-05
348,1.2758952751675956e-05
349,1.2075642541033501e-05
350,1.167658993681955e-05
351,1.071364581514712e-05
352,1.0431232685998555e-05
353,1.0333923684021491e-05
354,1.0031562007283343e-05
355,8.408417418725891e-06
356,8.221091459331361e-06
357,6.9650527153678504e-06
358,6.748640635774155e-06
359,6.339317784870869e-06
360,5.917540687652248e-06
361,5.456695257435368e-06
362,5.22285053853413e-06
363,4.879783933674264e-06
364,4.504670162445313e-06
365,3.843630945778429e-06
366,3.5028482005451382e-06
367,3.4035215751754825e-06
368,3.1457325385877548e-06
369,3.097797848220357e-06
370,2.9745738901318634e-06
371,2.773145619867837e-06
372,2.669277800623879e-06
373,2.4807835703251327e-06
374,2.307289432235007e-06
375,2.2145795256647914e-06
376,2.0110404091652784e-06
377,1.9632706754620933e-06
378,1.8924602275186558e-06
379,1.7445589650840173e-06
380,1.5339731392268267e-06
381,1.4223649013208408e-06
382,1.1962712601745756e-06
383,1.1511514146897396e-06
384,1.1245365891046484e-06
385,1.0925315454631749e-06
386,1.0831518407029474e-06
387,1.010392009532021e-06
388,9.464904695709599e-07
