COUNTYGEOID,C01,C02,C03,C04
02275,-176078.84766392002,-79387.09258110679,-35410.29556612952,-69680.67594591563
02282,-176078.84766392002,-79387.09258110679,-35410.29556612952,-69680.67594591563
02290,-176078.84766392002,-79387.09258110679,-35410.29556612952,-69680.67594591563
01001,-176078.2474161726,-79368.99608319676,-35053.6087745885,-69288.1229073804
01003,-176078.84766357223,-79387.09257603077,-35410.29556113565,-69680.67591094911
01005,-176078.8476636332,-79387.0925808885,-35410.29556351086,-69680.67592200064
01007,-176078.84766392002,-79387.09258110679,-35410.29556612952,-69680.67594591563
01009,-176078.84766392002,-79387.09258110679,-35410.29556612952,-69680.67594591563
01011,-176078.84766392002,-79387.09258110679,-35410.29556612952,-69680.67594591563
01013,-176078.84766605933,-79387.09256002615,-35410.2954807446,-69680.6758946136
01015,-174978.67985018028,-80098.9339237085,-32392.817605263597,584361.3834348633
01017,-176078.84766388242,-79387.09257763396,-35410.295561994644,-69680.67594761953
01019,-176078.8475870222,-79387.09089985015,-35410.295037427255,-69680.67567147546
01021,-176078.84766585132,-79387.09258454209,-35410.29552264275,-69680.6759800257
01023,-176066.89456077397,-79369.70514996181,-35197.93424529966,-68183.18862911606
01025,-176078.6548692867,-79381.22286612398,-35291.17801514155,-69549.38925483631
01027,-176078.84766277476,-79387.09257975436,-35410.29555421141,-69680.67585143671
01029,-176078.84766392002,-79387.09258110679,-35410.29556612952,-69680.67594591563
01031,-176078.84766301516,-79387.0925639107,-35410.29555929449,-69680.67592896652
01033,-176078.832932814,-79386.42741013702,-35404.413674841526,-69680.20834518199
01035,-176078.84766341085,-79387.09257835784,-35410.29556181828,-69680.67591361783
01037,-176078.84757571202,-79387.09243951597,-35410.29430201107,-69680.67229181319
01039,-176078.84766122568,-79387.09250556096,-35410.295514908,-69680.6756321713
01041,-176078.84766392002,-79387.09258110679,-35410.29556612952,-69680.67594591563
01043,-175701.43557338923,-79631.30841097253,-34376.579185546405,154689.34373121677
01045,-176078.8478913885,-79387.09287005822,-35410.29039693908,-69680.6798238064
01047,-176077.90898098747,-79358.48077397613,-34829.644711679786,-69041.26978446532
01049,-176078.8476250285,-79387.09169615994,-35410.295234384685,-69680.67575124346
01051,-176078.8476617483,-79387.09252161495,-35410.29552576272,-69680.67569169377
01053,-176077.11875127122,-79333.37210333756,-34264.56421164737,-68417.2863693099
01055,-169465.98064414714,-80708.18748828393,-18559.028143862135,1161610.8776136711
01057,-176078.84765464632,-79387.09237562699,-35410.295497863095,-69680.67591373858
01059,-175966.9725705785,-79459.48490700593,-35103.87427681202,-3171.3633662705615
01061,-176078.84766352468,-79387.09258065298,-35410.295562265965,-69680.6759099828
01063,-176078.84735514957,-79386.41114729588,-35398.860016530634,-69679.85083489714
01065,-176078.84766470056,-79387.09258248417,-35410.29554898735,-69680.6759606474
01067,-176078.84766392002,-79387.09258110679,-35410.29556612952,-69680.67594591563
01069,-175999.57956150878,-79438.3849990505,-35193.18338585227,-22556.108175751615
01071,-175478.09028199446,-79754.17977814855,-33642.28880329546,278835.4449983361
01073,-166425.17743777507,3254372.6436592834,-4285.404278800369,121953.04144907002
01075,-176021.65392353435,-79424.13193965076,-35250.17505943409,-35672.789578125754
01077,-176019.90304656315,-79425.234104052,-35248.832832446584,-34638.31418038563
01079,-176060.36730091966,-79325.66899352103,-34298.36830762698,-66622.09516090613
01081,-175200.10560390068,-79827.21323860795,-32879.19299863725,461533.89158157294
01083,-176078.81985614047,-79386.97674665156,-35410.09232391591,-69655.26082582615
01085,-127029.09294076248,-16890.012682116398,-35398.21363728618,-69736.82522487426
01087,-176078.84766392002,-79387.09258110679,-35410.29556612952,-69680.67594591563
01089,-174653.2472958268,-79989.244143806,-28282.995278194958,797062.6126744132
01091,-176078.10913219067,-79379.77484846079,-35273.394476398134,-69220.94309040354
01093,-176073.060565062,-79390.83685975971,-35394.44406101088,-66240.29837101884
01095,-176078.84581140368,-79387.08514535376,-35410.27052655174,-69680.608693731
01097,185309594.93844575,-593097.343810831,-36219.2685839471,-252970.52795220548
01099,-176076.73718168147,-79322.87937865977,-34110.274049308544,-68248.21859005722
01101,-173898.2222313909,-80798.13408800373,-29437.65166337755,1226692.7185694256
01103,-175955.0132595699,-79465.00120713332,-35055.06794930308,3160.4815548181095
01105,-176078.8476641055,-79387.09258143406,-35410.295562056286,-69680.67594941612
01107,-176078.84766420105,-79387.09258160272,-35410.29555995735,-69680.67595121994
01109,-176078.84765814053,-79387.0924204895,-35410.29546169513,-69680.67531766753
01111,-176078.84766305267,-79387.09256060826,-35410.29555103672,-69680.67584799048
01113,2167167.5921159787,254426.08036894395,-32737.652992221974,-69355.23238055696
01115,-176024.64524141085,-79165.99325318504,-35014.105946856194,-19902.200610873828
01117,-176033.55068565,-79344.34501143637,-27219.003340651096,-68115.45353106313
01119,-175066.17579903343,-78111.55601267154,349648.50343122025,-45221.81632269764
01121,-176078.7807647682,-79385.18882124296,-35383.12873287419,-69652.35208840964
01123,-176064.56379879185,-79328.82654312569,-35305.885167351866,-56562.539469040436
01125,-175894.50057224967,-79048.04611796675,-34423.641695055754,71208.76996109438
01127,-176076.0679713083,-79383.79689212087,-35361.859279284705,-69638.00125847312
01129,-176078.93338080432,-79387.21317571867,-35077.70801549279,-69685.72312226721
01131,-176077.61744059154,-79348.44821129992,-34566.314481252106,-68750.22965766305
01133,-176078.8476628905,-79387.09258000071,-35410.295556123434,-69680.67585225776
05001,-176078.83845407068,-79387.07773942302,-35410.16351255972,-69680.30181870385
05003,-176075.91773380007,-79296.61883589243,-33510.02838196329,-67585.91271968208
05005,-176075.51454558113,-79361.95392625687,-33693.21784793521,-66933.31103709605
05007,-176078.84314751922,-79386.74709900162,-35406.03511735796,-69680.35152395134
05009,-176024.9823007174,-79407.07785943903,-35248.38037403365,-36638.90686746895
05011,-176078.84675578945,-79387.07267014594,-35410.289241938546,-69680.67274741473
05013,-176078.84601895517,-79387.08993376815,-35410.271923705746,-69680.60903922665
05015,-176078.84766392002,-79387.09258110679,-35410.29556612952,-69680.67594591563
05017,-176078.84766392002,-79387.09258110679,-35410.29556612952,-69680.67594591563
05019,-175897.09025021322,-78755.51039512691,11011.486614591018,47462.017898460326
05021,-176078.84766335055,-79387.0925805957,-35410.29556080139,-69680.67589692667
05023,-176078.84766302194,-79387.09255899211,-35410.29555100119,-69680.67582339366
05025,-176078.84766392002,-79387.09258110679,-35410.29556612952,-69680.67594591563
05027,-176076.30351494107,-79376.71464898859,-35391.699247565084,-67344.17782038156
05029,-176078.71220794806,-79383.22322778404,-35345.30600239452,-69609.35311811655
05031,-175854.33501388354,-79532.37012130217,-34795.36451145864,63791.21864850175
05033,-176078.84766853653,-79387.09258925387,-35410.29546472512,-69680.67603299319
05035,-175821.31336432483,-79071.59633493118,-30740.0116974773,-37057.58426729955
05037,-173901.6417161523,-80795.92269495236,-29447.017840401433,1224659.8867269019
05039,-176078.84766411583,-79387.0925814524,-35410.29556182825,-69680.6759496121
05041,-176077.2259073775,-79336.95423136836,-34353.49254366996,-68515.45417548738
05043,-176078.8476638782,-79387.09258107582,-35410.29556579666,-69680.67594092837
05045,-176078.84763309485,-79387.0923112396,-35410.29518966039,-69680.67487774394
05047,-176078.84766364534,-79387.09258075432,-35410.29556338375,-69680.67592023121
05049,-176078.84766392002,-79387.09258110679,-35410.29556612952,-69680.67594591563
05051,-176057.8254675575,-79301.3401626667,-35256.63348823559,-50374.23481322309
05053,-176078.84766399662,-79387.09258124234,-35410.29556443829,-69680.67594734527
05055,-176078.847663403,-79387.09258036663,-35410.295560273604,-69680.67588645619
05057,-175651.1727659222,-79663.65354090117,-34236.75185109386,184569.1566622144
05059,-176078.84766220755,-79387.09254304609,-35410.29555270238,-69680.6759334756
05061,-176078.84766091412,-79387.0925769297,-35410.29538218946,-69680.67572633842
05063,-175376.27905450005,-79831.07972693957,-33389.727287625814,345463.79807002086
05065,-176078.84766392002,-79387.09258110679,-35410.29556612952,-69680.67594591563
05067,-176078.84716549923,-79387.08140433012,-35410.29034080444,-69680.67416228
05069,-175408.89460097696,-78155.34368709904,-20673.64830412101,162207.90584794205
05071,-174266.88290351574,-80559.58177683942,-30447.39845784754,1007525.4047471919
05073,-176078.84766385725,-79387.09258104644,-35410.29556553564,-69680.67594043865
05075,-176078.84746249547,-79387.08817373337,-35410.29417620143,-69680.67522973605
05077,-176078.84766390204,-79387.09258108851,-35410.29556595797,-69680.67594432941
05079,-176078.84766392002,-79387.09258110679,-35410.29556612952,-69680.67594591563
05081,-176074.89150759092,-79265.92211345163,-32889.1357429386,-66889.06451622615
05083,-176078.84765792594,-79387.09245191606,-35410.295525246176,-69680.67590044018
05085,-175996.59117148485,-79051.79054675998,-34713.38893051619,5756.615916116037
05087,-176078.84766389124,-79387.09258108446,-35410.29556601379,-69680.67593772903
05089,-176078.84761711673,-79387.0921992926,-35410.29484264077,-69680.67317379129
05091,-176078.84746095818,-79387.09221180645,-35410.292672552394,-69680.66776620629
05093,17452073.309251044,-128190.66708845226,-36130.91168756603,-93326.4241764814
05095,-176078.8476639062,-79387.0925810845,-35410.29556598382,-69680.67594453506
05097,-176078.84766392002,-79387.09258110679,-35410.29556612952,-69680.67594591563
05099,-176078.8476651477,-79387.09258327313,-35410.29553916884,-69680.6759690853
05101,-176078.84766392002,-79387.09258110679,-35410.29556612952,-69680.67594591563
05103,-176056.65825557293,-79401.42470297706,-35349.5148417331,-56489.847293276565
05105,-176078.84766392002,-79387.09258110679,-35410.29556612952,-69680.67594591563
05107,-175864.26955375727,-79383.86888449815,-35403.40866275046,-68823.22054375171
05109,-176078.84766392002,-79387.09258110679,-35410.29556612952,-69680.67594591563
05111,-176078.57985881,-79386.00016918033,-35408.33806002425,-69434.72878034427
05113,-176078.8476637336,-79387.09258096296,-35410.295564424356,-69680.67593033599
