COUNTYGEOID,C01,C02,C03,C04
01021,-721457.3056384387,-219230.86241860798,-234326.40418008302,-173366.16980020143
01023,-721610.4375959359,-212469.23061305707,-217073.25171201272,-156280.78207457022
01025,-721537.7175023231,-216969.72500634362,-224499.5505978597,-164831.71478898168
01027,-721457.2886187065,-219230.93638113886,-234319.63583211918,-173365.81964476235
01029,-721457.2719906127,-219231.3375271759,-234324.49931985332,-173366.2540820309
01031,-721460.6538001983,-219019.2390699428,-233938.08761994605,-173260.44282224632
01033,-664966.9424920955,1840126.988716115,6397.474975380364,-126693.49741240387
01035,-721457.6925846807,-219211.44572010616,-234218.5486824917,-173361.24326478704
01037,-721457.2745666143,-219231.94090159205,-234326.8613472686,-173366.41759198098
01039,-721458.5398392978,-219141.17908164897,-233842.71489270637,-173351.19271599452
01041,-721457.274442681,-219231.94730436464,-234326.90639377772,-173366.4188273773
01043,-721486.2520114003,-188240.7050005887,-233653.39454792344,-172825.64288521223
01045,-721460.4624719506,-218800.76639805312,-232010.31603036818,-173313.25148674546
01047,-721598.4812525833,-213682.53625388548,-223311.5402420184,-158038.78807257922
01049,-721457.7272794731,-219206.7118496585,-234200.8772925189,-173354.91344324665
01051,-721457.3800130057,-219228.68952398215,-234272.31811380712,-173358.54506702037
01053,-720948.6254855348,-213720.70158278957,-218737.9815600709,-163317.3056964776
01055,-663019.4257557173,135061.22589706417,-202298.90871387365,-161552.66292873258
01057,-721476.1228974178,-218233.64299406318,-234214.78206974475,-171816.1280274707
01059,-721463.3836699105,-218969.93962180856,-234250.60865910462,-173253.0955833116
01061,-721457.4843197707,-219230.05659655068,-234323.4732999873,-173367.5463451487
01063,-116345.59222672386,-207791.426468582,-231066.55688376198,-154358.28550921974
01065,-721457.2744402889,-219231.9471086771,-234326.90393245209,-173366.41882062427
01067,-721464.642161495,-194979.05832352318,-234908.0901603286,-173339.95945549186
01069,-721352.4911786581,-219215.86598026953,-233936.56730416807,-173264.89846285587
01071,-270910.6655585445,-107064.53387509283,-212565.5207839477,-146975.42380200545
01073,-615638.356280408,-64766.48806664204,-17170.71904810839,-92001.62210853599
01075,-721407.2713498502,-219241.43172365348,-234313.97293391466,-173306.3619580642
01077,-721522.5039850568,-208995.4578108865,-234046.19875625768,-168335.7290310558
01079,-719608.7500992824,-213978.76901858352,-145560.18648599545,-161584.6244689032
01081,-721504.9796548465,-219123.50307191472,-232796.8429693116,-172428.0923843095
01083,-721458.5141464246,-219079.20004264166,-234097.67479744265,-173360.68039202894
01085,-721513.6828362844,-216667.62001800575,-219494.24148512774,-123731.12439239507
01087,-721457.2744425738,-219231.9473043708,-234326.90639354236,-173366.41882735176
01089,-721528.0290284528,-216102.33448304763,-220188.2551032859,-168610.9489974203
01091,-721502.4299084396,-216974.73623477246,-225432.63011053813,-168877.20017723824
01093,-721481.4109282444,-215408.91208307107,-220116.31380250625,-173136.80098664778
01095,-721449.1331506063,-219187.81733621674,-233879.27637271443,-173228.84868563424
01097,-390770.7671849337,-231773.04209161064,5120155.232107353,185313525.46288034
01099,-721156.7607011794,-214232.11983155346,-213354.07554053483,-163973.2307649873
01101,-721574.413699033,-219010.22546998222,-232367.36289188243,-171003.2455334067
01103,-718416.4124717007,-114223.82039714871,3764799.4018834746,-272979.7671972164
01105,-721457.3028245226,-219231.7177412042,-234325.86061249577,-173359.80004955322
01107,-721448.092998182,-219228.01053601573,-234281.83340588305,-173363.50498228837
01109,-693652.0008113966,-218992.95265951302,-234230.0530018782,-173513.66218406032
01111,-721457.1685510861,-219227.37506519305,-234327.13704344784,-173366.33864920013
01113,-721784.3388794779,-208252.41500814835,-133158.38762185667,2184454.5038860915
01115,-721473.5856809124,-208389.85682787214,-233347.10847131023,-173117.89027116945
01117,313629.8483562436,-166963.32642008402,-220781.1147885524,-105712.81896637494
01119,1280780.920971913,-107967.85615694165,-80618.31821225907,-171424.52626136577
01121,-719795.6947213616,-195483.52302479392,-222792.27146508926,-159740.32652214568
01123,-721455.3647385337,-219106.4199238662,-234151.82353884995,-173293.95055497147
01125,-721501.7201619636,-214630.84949614183,-202225.52262472117,-172679.83514509298
01127,562498.4480178171,-197150.1812862448,-226502.62797512684,-135684.55789744106
01129,-672345.4793295478,-215734.5147199849,-227522.41678629225,-169037.19091741764
01131,-721326.4320306515,-214474.78244436087,-222243.14585437905,-170891.07032095516
01133,-721257.890866398,-219231.83401748003,-234326.86557265045,-173365.54544156202
05001,-721460.530740299,-219116.61152503698,-234031.65635072114,-173290.7704729253
05003,-720182.6399447791,-212918.81466166957,-218090.79929111476,-161357.2711079404
05005,-721414.7880376017,-218981.05425153841,-232737.19459356143,-173137.95456940855
05007,-717161.6605358393,-210822.68505376647,-233128.07908995816,-165350.2550374291
05009,-721518.8304034063,-219468.8503294732,-235384.28478168737,-173115.35242985006
05011,-721457.213528467,-219231.43041592967,-234326.99105407935,-173366.57277168802
05013,-721447.5222571576,-214578.98244555612,-233757.3208403911,-173267.88216128194
05015,-721457.2762159804,-219231.9506966263,-234326.91092124334,-173366.37504157942
05017,-721457.2744425924,-219231.94730438344,-234326.90639351035,-173366.41882735246
05019,-719277.1213512972,-218860.5733555273,-226535.19372272206,-173317.9059536931
05021,-721457.2570615676,-219231.94271700786,-234326.8937289121,-173366.4158853935
05023,-721457.2744419841,-219231.94730235662,-234326.90638587758,-173366.41882514305
05025,-721457.2307120638,-219231.94639040175,-234326.89806498666,-173366.41918232743
05027,-721501.361429715,-215820.42703233,-214033.86699845878,-173083.42503632503
05029,-721506.6119787684,-217065.5788028357,-227022.16375226216,-172673.1440935435
05031,-721502.5804029917,-215810.37979106948,-233989.11582397597,-170577.58523608785
05033,-721461.7569267625,-218089.2600523129,-234130.42088135757,-173320.24300617405
05035,-721504.9232064064,-132198.9957764426,-223678.4575202971,-172611.49725107095
05037,-721570.9395827071,-219459.05950593489,-233052.71749176265,-171201.56428142096
05039,-721458.1581662891,-219221.32449144503,-234205.18920307828,-173358.5546049211
05041,-721524.1009782365,-217484.5869980499,-224026.57236248357,-168028.27463237915
05043,-721457.4349972362,-219200.40268622138,-234263.17611495443,-173347.14133681482
05045,-721458.6302387083,-216340.66570878055,-234322.15803586322,-173347.0006047177
05047,-721475.6556437329,-217841.88324778396,-232993.4662018341,-172547.90663398427
05049,-721457.2744425958,-219231.9473043835,-234326.9063935121,-173366.41882735243
05051,-529500.0623629948,-92632.95494043407,5150307.960326146,-288221.5916334929
05053,-721444.1341407715,-218960.1855782756,-234199.60141140682,-173248.7359388157
