components,explain,discrete
1,0.8038697314515987,0.8038697314515987
2,0.8621752818545515,0.05830555040295282
3,0.8969285852276275,0.034753303373076035
4,0.929771575996624,0.032842990768996425
5,0.9561904451795558,0.026418869182931817
6,0.9658076115736415,0.009617166394085677
7,0.9729705852477254,0.007162973674083935
8,0.9774470312354131,0.004476445987687716
9,0.9817794567122551,0.004332425476841965
10,0.9856776100706727,0.003898153358417573
11,0.988954393189347,0.0032767831186742446
12,0.9910078739938509,0.0020534808045039486
13,0.9926222818112586,0.001614407817407664
14,0.9939212342421695,0.001298952430910926
15,0.994772734579281,0.0008515003371114065
16,0.9952794427274612,0.0005067081481801668
17,0.9956838699776087,0.0004044272501475669
18,0.9960502294837642,0.0003663595061554918
19,0.9963915104271821,0.0003412809434179028
20,0.9967076951455524,0.00031618471837029723
21,0.9970069326370751,0.0002992374915226992
22,0.9972924459323987,0.0002855132953236713
23,0.9975340951093888,0.00024164917699010438
24,0.997769634344948,0.0002355392355592388
25,0.9979868254350827,0.00021719109013459127
26,0.9981789141319602,0.0001920886968776406
27,0.9983528725687434,0.00017395843678314255
28,0.9984928583793177,0.00013998581057423083
29,0.998615527396466,0.0001226690171483216
30,0.998730716755173,0.00011518935870699404
31,0.9988309057936626,0.00010018903848966131
32,0.9989286637581102,9.775796444754776e-05
33,0.9990236090013438,9.494524323360765e-05
34,0.9991116929397793,8.808393843548442e-05
35,0.9991826784557404,7.098551596111412e-05
36,0.9992466996833479,6.402122760753092e-05
37,0.9993090055084038,6.230582505599735e-05
38,0.9993616821159765,5.2676607572739666e-05
39,0.9994097245124949,4.80423965183569e-05
40,0.9994509701429538,4.124563045892836e-05
41,0.9994904720153669,3.95018724130563e-05
42,0.9995277809585051,3.730894313823641e-05
43,0.9995626110929626,3.4830134457439496e-05
44,0.9995934867126459,3.0875619683308694e-05
45,0.999621650283214,2.8163570568067637e-05
46,0.9996444074552752,2.2757172061154647e-05
47,0.9996653490073037,2.094155202853192e-05
48,0.9996854504240276,2.0101416723808628e-05
49,0.9997052431048551,1.9792680827566673e-05
50,0.9997230379752697,1.7794870414676342e-05
51,0.9997401705657772,1.713259050751707e-05
52,0.9997567466591888,1.6576093411516297e-05
53,0.9997722882837323,1.5541624543514895e-05
54,0.999787442688048,1.5154404315659316e-05
55,0.999800901104365,1.3458416317096793e-05
56,0.9998140873656083,1.3186261243286388e-05
57,0.9998265734119738,1.2486046365489578e-05
58,0.999838315527979,1.1742116005205222e-05
59,0.9998491849813139,1.086945333497868e-05
60,0.9998586118481991,9.426866885168613e-06
61,0.9998675655882067,8.953740007540831e-06
62,0.9998757671379503,8.201549743645505e-06
63,0.9998832473001091,7.480162158832637e-06
64,0.9998897816907786,6.534390669396551e-06
65,0.9998961192144138,6.33752363521762e-06
66,0.9999022988181536,6.179603739840421e-06
67,0.9999084049554087,6.106137255099818e-06
68,0.9999132762251798,4.871269771117327e-06
69,0.9999179504141713,4.674188991497163e-06
70,0.9999223173941458,4.36697997454346e-06
71,0.9999263507160198,4.033321873913214e-06
72,0.9999301678463798,3.81713036004925e-06
73,0.9999337270945904,3.559248210561685e-06
74,0.9999371595463237,3.4324517333131852e-06
75,0.9999404631086224,3.3035622987439794e-06
76,0.9999436365535038,3.1734448814106137e-06
77,0.9999465012430823,2.8646895784727307e-06
78,0.9999492211594596,2.719916377345624e-06
79,0.9999517825192009,2.5613597412799394e-06
80,0.9999542400759416,2.4575567406229946e-06
81,0.9999566525555167,2.4124795751518907e-06
82,0.9999589922944367,2.3397389200842175e-06
83,0.9999612390216955,2.2467272588155945e-06
84,0.9999633952288215,2.156207125957527e-06
85,0.9999654408236136,2.0455947921208366e-06
86,0.9999673633401176,1.9225165039925287e-06
87,0.9999692123970011,1.8490568834981352e-06
88,0.9999708898151384,1.6774181372962666e-06
89,0.9999724965462065,1.6067310680423451e-06
90,0.9999740561400499,1.5595938434518526e-06
91,0.9999755424340545,1.4862940046697582e-06
92,0.9999768842592512,1.3418251967521281e-06
93,0.9999781136185173,1.229359266018772e-06
94,0.9999793152871561,1.2016686388658655e-06
95,0.999980429322444,1.1140352879093661e-06
96,0.9999815301613428,1.1008388988600031e-06
97,0.9999826050857399,1.0749243970158367e-06
98,0.999983564110327,9.59024587131165e-07
99,0.9999844068434298,8.427331028949883e-07
100,0.9999851827362085,7.758927787341282e-07
101,0.9999859318858939,7.491496854395261e-07
102,0.9999866647675617,7.328816678498169e-07
103,0.9999873739106311,7.09143069413249e-07
104,0.9999880105946987,6.366840675667117e-07
105,0.9999886420800748,6.314853761409548e-07
106,0.9999892211727731,5.790926983334692e-07
107,0.9999897847296528,5.63556879662481e-07
108,0.9999903217159093,5.369862565130624e-07
109,0.9999908257055431,5.039896337613644e-07
110,0.999991305566318,4.798607748496525e-07
111,0.9999917742688169,4.687024988964049e-07
112,0.9999921998543289,4.255855118899925e-07
113,0.9999926207040456,4.2084971675192914e-07
114,0.9999930143159119,3.936118662865442e-07
115,0.9999933986477156,3.843318037552474e-07
116,0.9999937629396733,3.6429195773900156e-07
117,0.9999941025869422,3.396472689194354e-07
118,0.9999944267287363,3.241417940215326e-07
119,0.999994740998751,3.142700146401151e-07
120,0.9999950410430133,3.000442623596398e-07
121,0.999995335195634,2.941526207250824e-07
122,0.9999956235288073,2.8833317332870025e-07
123,0.9999958917464784,2.6821767102201367e-07
124,0.9999961563345572,2.6458807874799693e-07
125,0.9999964060929222,2.4975836503277915e-07
126,0.999996638429142,2.323362198324833e-07
127,0.9999968475749461,2.0914580412700808e-07
128,0.9999970540822016,2.065072555020324e-07
129,0.99999724764432,1.9356211836995316e-07
130,0.99999743364661,1.8600229003467326e-07
131,0.9999975955051164,1.6185850639535562e-07
132,0.99999775413607,1.5863095356674035e-07
133,0.9999979046950945,1.505590245786688e-07
134,0.9999980532128295,1.4851773500106835e-07
135,0.9999981868327532,1.3361992370007444e-07
136,0.9999983144533376,1.2762058439658596e-07
137,0.9999984053460667,9.089272900382717e-08
138,0.9999984906826637,8.533659698868716e-08
139,0.999998573403358,8.27206942718868e-08
140,0.9999986531970093,7.979365138107586e-08
141,0.9999987277036764,7.450666708478588e-08
142,0.9999987972780476,6.95743712776412e-08
143,0.9999988643623028,6.708425520134838e-08
144,0.9999989302666191,6.590431631531087e-08
145,0.9999989938740244,6.360740519742201e-08
146,0.9999990533101997,5.94361752635811e-08
147,0.9999991114764191,5.8166219375265606e-08
148,0.99999916661102,5.513460092038188e-08
149,0.9999992155642413,4.895322139761728e-08
150,0.9999992619632203,4.639897898926867e-08
151,0.999999304937261,4.2974040648349284e-08
152,0.9999993418923218,3.6955060810226575e-08
153,0.9999993772347481,3.534242631921244e-08
154,0.9999994086740189,3.1439270892347305e-08
155,0.9999994390134908,3.033947181314989e-08
156,0.9999994680220124,2.9008521684636242e-08
157,0.9999994961707913,2.8148778824372323e-08
158,0.9999995232868304,2.711603908983266e-08
159,0.999999548823396,2.5536565592263515e-08
160,0.9999995734868051,2.4663409056438323e-08
161,0.9999995972152566,2.3728451371889915e-08
162,0.9999996191145907,2.189933407665335e-08
163,0.9999996403797305,2.126513990102508e-08
164,0.9999996587874487,1.84077181575758e-08
165,0.9999996753497098,1.656226112028272e-08
166,0.9999996904299528,1.508024306691793e-08
167,0.9999997045967699,1.4166817021054531e-08
168,0.9999997178522023,1.3255432416220604e-08
169,0.9999997305490355,1.2696833149433047e-08
170,0.999999742843186,1.2294150595188157e-08
171,0.9999997544931348,1.164994877927793e-08
172,0.9999997656402619,1.1147127127707296e-08
173,0.9999997763533596,1.0713097583282092e-08
174,0.9999997869080436,1.0554684067932834e-08
175,0.9999997971012674,1.0193223810718013e-08
176,0.9999998063643376,9.263070200202453e-09
177,0.9999998153409657,8.976628075703102e-09
178,0.9999998238564017,8.515436063453882e-09
179,0.9999998319007489,8.044347204720421e-09
180,0.9999998393483639,7.447614977725764e-09
181,0.9999998466214776,7.2731136426668774e-09
182,0.9999998531228209,6.501343368801551e-09
183,0.9999998593091874,6.186366535789972e-09
184,0.9999998653030344,5.993847019779841e-09
185,0.9999998711114624,5.808427993515502e-09
186,0.9999998766219614,5.510499057683898e-09
187,0.9999998814238337,4.801872271980614e-09
188,0.9999998858650099,4.4411762245735266e-09
189,0.9999998900433666,4.178356801302453e-09
190,0.9999998939437316,3.9003648999275595e-09
191,0.9999998977748813,3.831149733843286e-09
192,0.999999901513815,3.738933710976405e-09
193,0.9999999051828222,3.66900724910089e-09
194,0.9999999088000533,3.6172311180030023e-09
195,0.99999991229481,3.494756746003594e-09
196,0.9999999157738201,3.4790101062542886e-09
197,0.9999999192194305,3.4456105022022073e-09
198,0.9999999225385795,3.3191490070150067e-09
199,0.9999999257621005,3.223521058398154e-09
200,0.9999999288624202,3.100319639087259e-09
201,0.9999999319187624,3.0563421890523954e-09
202,0.9999999349435353,3.0247729436998775e-09
203,0.9999999376761194,2.7325840897948488e-09
204,0.9999999403273195,2.651200093930115e-09
205,0.9999999426880153,2.3606957248369315e-09
206,0.9999999448280825,2.1400672727128746e-09
207,0.9999999468943735,2.066291066755178e-09
208,0.9999999489126256,2.01825196380431e-09
209,0.9999999507895633,1.8769377021228995e-09
210,0.9999999526230399,1.8334765482469068e-09
211,0.9999999543335374,1.7104975087257085e-09
212,0.9999999559885328,1.6549953811737017e-09
213,0.9999999576344947,1.645961873505715e-09
214,0.99999995917739,1.5428953803535128e-09
215,0.999999960689086,1.5116959944789123e-09
216,0.9999999621625539,1.473467911827459e-09
217,0.999999963585499,1.4229450843765207e-09
218,0.9999999649802324,1.3947333009530041e-09
219,0.9999999663074722,1.3272399159569446e-09
220,0.999999967610663,1.3031907461199726e-09
221,0.9999999688945672,1.2839041735383094e-09
222,0.9999999701582294,1.2636621833493942e-09
223,0.9999999713876309,1.2294014354704734e-09
224,0.999999972579394,1.1917630952933795e-09
225,0.9999999737186485,1.1392544692705525e-09
226,0.9999999748344423,1.1157937536254736e-09
227,0.9999999759129866,1.0785443865078713e-09
228,0.9999999769762411,1.0632544878773724e-09
229,0.9999999780040111,1.0277699549363683e-09
230,0.9999999790135462,1.0095351197051984e-09
231,0.9999999799743566,9.60810423026124e-10
232,0.9999999808894776,9.151210331461799e-10
233,0.9999999817959936,9.065159822773371e-10
234,0.9999999826785303,8.825366832409997e-10
235,0.9999999834824725,8.039422435641864e-10
236,0.9999999842151901,7.327175622693877e-10
237,0.999999984897322,6.821319354972823e-10
238,0.9999999855300707,6.327487250789717e-10
