COUNTYGEOID,C01,C02,C03,C04,C05
02013,-0.07880609982962432,-0.11132891368754319,-0.01152485358966719,-0.05604569181776075,-0.043907490170791125
02016,-0.0788060998295974,-0.11132891368752154,-0.011524853589669266,-0.056045691817767085,-0.04390749017080627
02020,-0.1353691371783659,-0.21039022714683225,-0.12018166055731158,-0.3747477027636266,0.8051008079253641
02050,-0.12640300723537107,-0.21267145885693758,-0.41693659912770176,0.7862969732529447,0.09677350841696603
02060,-0.1070513104298162,-0.17505898846317355,-0.04191138380783242,-0.07836442308055834,-0.0956860017905483
02068,-0.10705131042981281,-0.1750589884631824,-0.0419113838078282,-0.07836442308055686,-0.095686001790538
02070,-0.07880609982962447,-0.11132891368754365,-0.011524853589668515,-0.056045691817758155,-0.04390749017079219
02090,-0.135346010103198,-0.21035040425143756,-0.1191352873136981,-0.3775078310002885,0.8044082582175149
02100,-0.07880609982962439,-0.11132891368754344,-0.011524853589671709,-0.05604569181776188,-0.043907490170782236
02105,-0.07880609982962439,-0.11132891368754343,-0.0115248535896672,-0.056045691817760854,-0.04390749017079048
02110,-0.1264032258860849,-0.2126718993350616,-0.41693670469133104,0.7862964969539404,0.09677275777379711
02122,-0.1263684157295876,-0.21286949460898527,-0.41737955758640005,0.787281633896932,0.09694440275141464
02130,-0.12639042258285083,-0.21264308868017007,-0.4169231733415475,0.7863071889083151,0.09679678005245744
02150,-0.07880609982962439,-0.11132891368754344,-0.011524853589667247,-0.05604569181776087,-0.043907490170791166
02158,-0.07880609982962439,-0.11132891368754345,-0.011524853589667206,-0.05604569181776089,-0.04390749017079113
02164,-0.07880609982962439,-0.11132891368754344,-0.011524853589667223,-0.05604569181776089,-0.043907490170791146
02170,-0.07880609982962439,-0.11132891368754345,-0.011524853589667225,-0.056045691817760875,-0.043907490170791146
02180,-0.07880609982962437,-0.11132891368754344,-0.011524853589667223,-0.05604569181776089,-0.043907490170791166
02185,-0.07880609982962437,-0.11132891368754344,-0.011524853589667225,-0.056045691817760875,-0.04390749017079116
02188,-0.08777523268710256,-0.12731811521549607,-0.017273016881683947,-0.06896703776935968,-0.02639334008478781
02195,-0.07880609982962439,-0.11132891368754344,-0.01152485358966722,-0.05604569181776089,-0.043907490170791166
02198,-0.07880609982962439,-0.11132891368754341,-0.011524853589667221,-0.05604569181776089,-0.043907490170791125
02220,-0.07880609982962437,-0.11132891368754341,-0.011524853589667223,-0.0560456918177609,-0.04390749017079114
02230,-0.07880609982962437,-0.11132891368754341,-0.011524853589667223,-0.0560456918177609,-0.04390749017079114
02240,-0.07880609982962437,-0.11132891368754341,-0.011524853589667223,-0.05604569181776089,-0.043907490170791146
02261,-0.1263888827791457,-0.21263971382184216,-0.41692176233273587,0.7863089806141089,0.09680026188698872
02275,-0.07880609982962437,-0.11132891368754344,-0.011524853589667225,-0.056045691817760875,-0.04390749017079115
02282,-0.07880609982962437,-0.11132891368754344,-0.011524853589667225,-0.05604569181776089,-0.04390749017079115
02290,-0.07880609982962437,-0.11132891368754344,-0.011524853589667225,-0.05604569181776089,-0.04390749017079115
01001,-0.4587486727848613,0.7913156545205167,0.025349931370787348,-0.010206286332447806,-0.018204465135488245
01003,-0.14501147922406799,-0.24947475278116765,-0.09941361609486768,-0.28179530486362286,0.17032044554604542
01005,-0.10534676995936823,-0.15639171257925255,-0.024807538078247964,-0.10054952979250789,-0.08969564293061427
01007,-0.08161183441036768,-0.1161886172241073,-0.012818991887224426,-0.05967739088397078,-0.04286594221016837
01009,-0.07880609982962437,-0.11132891368754344,-0.01152485358966722,-0.05604569181776089,-0.04390749017079116
01011,-0.07880609982962437,-0.11132891368754344,-0.01152485358966722,-0.05604569181776089,-0.04390749017079115
01013,-0.10534676995936823,-0.15639171257925255,-0.02480753807824797,-0.10054952979250786,-0.08969564293061427
01015,0.8196896976100169,0.2282947294756614,-0.1863135670226264,0.032204501505875144,-0.009056711726390953
01017,-0.45918367078663297,0.7712139747657283,0.02084551071348449,-0.02367850859468002,-0.00982495635283681
01019,-0.10735382977848223,-0.16583036424725248,-0.035265993551531406,-0.12494852928578803,-0.02219073251112919
01021,-0.11334087315306914,-0.1745781761390191,-0.03020924360347242,-0.11641830048872404,-0.12042732655761637
01023,-0.4587538965455237,0.7913213113259439,0.025344499712237248,-0.010175712786998022,-0.018124514837855914
01025,-0.45874686969210704,0.7913340135085073,0.02534919347338873,-0.010168838703783907,-0.018120862971970967
01027,-0.08960614537245995,-0.17526291317945422,-0.14042486068316237,0.19693354190757859,-0.024459148124258288
01029,-0.07880609982962437,-0.11132891368754341,-0.011524853589667214,-0.0560456918177609,-0.043907490170791125
01031,-0.13898836610541412,-0.2539704186374549,-0.059834508007419,-0.2635432948598843,-0.5184991117593958
01033,-0.0867855708224191,-0.11074544501202235,-0.021368968276905993,-0.07374899182921339,0.02348241505087849
01035,-0.07880609982962437,-0.11132891368754341,-0.011524853589667218,-0.05604569181776089,-0.04390749017079114
01037,-0.11341733257181642,-0.1878287955403314,-0.04485027398820282,-0.092547013876186,-0.11790339592115208
01039,-0.10572707984200874,-0.15721214827396313,-0.02499923459629193,-0.10151416212410701,-0.0910554787262396
01041,-0.07880609982962437,-0.11132891368754341,-0.011524853589667221,-0.0560456918177609,-0.043907490170791125
01043,0.770946881342863,0.36626592761500437,-0.1303987103889364,-0.06623212510314938,-0.023039778458913814
01045,-0.12715738925532702,-0.2143714404328816,-0.41760144007319516,0.7853241512753186,0.09524465303213078
01047,-0.45878744091127494,0.7912249560616516,0.0253042303956454,-0.010210531388067228,-0.01819998477214609
01049,-0.11772428947431852,-0.19651444557548078,-0.038953071791895735,-0.15588173779493944,-0.23675744753067934
01051,-0.10196441957441835,-0.15909312180896185,-0.02587452012230411,-0.09984507371811586,-0.11247828713602201
01053,-0.45877188570695054,0.7912790453733746,0.025324670915368983,-0.010202854549085915,-0.018109799483651993
01055,0.7977967288692228,0.20893313921769696,-0.2254609821212974,0.09493180393598886,0.03964251800308564
01057,-0.13573972160720138,-0.24727175231427162,-0.05805431182884367,-0.25729794256634864,-0.5098645059275752
01059,0.8147829938598811,0.2360348798485483,-0.13549843491955565,-0.07011191432032986,-0.0263670124847904
01061,-0.10184202566156587,-0.15873115599053503,-0.025570918352157877,-0.09910058092078552,-0.11408961562442224
01063,-0.13561998050313126,-0.21081627618396775,-0.11847517594472198,-0.3803852441828365,0.8048373874248659
01065,-0.10534676995936833,-0.15639171257925255,-0.02480753807824795,-0.10054952979250771,-0.08969564293061422
01067,-0.07880609982962437,-0.11132891368754344,-0.011524853589667226,-0.05604569181776089,-0.04390749017079116
01069,0.8329431971105512,0.24406210086667587,-0.13644482360723093,-0.07314275436229715,-0.026104716204350117
01071,-0.18173318457715287,0.7709430526957683,-0.048597121526328155,-0.12529437829131876,0.2595820597380976
