COUNTYGEOID,C01,C02,C03,C04,C05
06111,-77693.66013255653,-8402.875037361615,-14495.598718257635,2655.8210977285735,519.6170558676916
06113,-72817.13335059496,1008.5963915947199,-15464.064504435517,36797.06363930492,-1021.9941837287015
06115,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08001,-59362.313834587185,26560.16620706783,-18102.02886726422,129574.20859515594,-4863.817707034058
08003,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08005,-6336.340847703544,-48931.09279158868,-17316.952694809333,2720.4654103420244,861.3896445373285
08007,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08009,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08011,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08013,-70677.18505455859,1979.9038467445255,-15744.687375738773,42268.949040848325,-1248.5450314214859
08014,-77791.05588928337,-8588.21876634087,-14476.225702935742,1981.4673727872582,550.031287432913
08015,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08017,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08019,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08021,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08023,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08025,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08027,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08029,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08031,-77728.2311979836,-8505.07768136621,-14096.46008099111,1961.054198091544,533.395859518141
08033,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08035,-77695.53763701706,-8426.152589607982,-14485.594953427713,2113.637395368251,553.6678356207944
08037,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08039,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08041,-55160.88339938746,-19960.2488492477,-15464.171632451562,6172.861314273979,468.6660223693765
08043,-77791.05674320372,-8588.218808724234,-14476.225540579882,1981.4672982153834,550.0315161930932
08045,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08047,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08049,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08051,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08053,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08055,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08057,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08059,-74491.00604698769,-6289.67399029877,-11137.771915620333,4276.1830938101375,9037.798502634152
08061,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08063,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08065,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08067,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08069,-77791.05336731483,-8588.218641165817,-14476.226182437566,1981.4675930278386,550.0306118125716
08071,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08073,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08075,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08077,-77104.468381143,-7263.4970601122295,-14612.58444592505,6787.3301781298,333.03287374843654
08079,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08081,-77588.27374069282,-8551.06895188661,-14469.05696141923,2403.5229290415828,927.8623963131563
08083,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08085,-77791.05709796361,-8588.218826332337,-14476.225473129392,1981.4672672346185,550.031611231147
08087,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08089,-77785.9439801131,-8579.010818684324,-14479.389834705968,1977.9733164130141,547.8358459143755
08091,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08093,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08095,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08097,-77791.05709866062,-8588.218826366929,-14476.225472996872,1981.4672671737485,550.031611417873
08099,-76053.83993026655,-9569.560795333196,-14545.162251345333,1999.5864765399435,557.6968105795262
08101,-77791.05699935867,-8588.21882143819,-14476.225491877149,1981.4672758456713,550.0315848154718
