COUNTYGEOID,C01,C02,C03,C04,C05,C06
02013,-0.12542718085978005,-0.1212611686098987,-0.08976155029994416,-0.04167633839816543,-0.045278410666311095,-0.022868671856032734
02016,-0.12542718085976928,-0.1212611686099186,-0.08976155029997887,-0.041676338398192084,-0.045278410666338316,-0.022868671856047185
02020,-0.12542718085978274,-0.12126116860988975,-0.08976155029994277,-0.04167633839817317,-0.04527841066632554,-0.022868671856045235
02050,-0.12542718085979507,-0.12126116860986375,-0.08976155029999258,-0.041676338398175826,-0.045278410666324126,-0.02286867185603561
02060,-0.12542718085978163,-0.12126116860989213,-0.08976155029996413,-0.04167633839815247,-0.04527841066629831,-0.022868671856027156
02068,-0.12542718085978072,-0.12126116860989945,-0.08976155029994351,-0.04167633839816548,-0.04527841066631192,-0.02286867185603483
02070,-0.12542718085978086,-0.12126116860989913,-0.08976155029994683,-0.04167633839815247,-0.045278410666304544,-0.02286867185603301
02090,-0.14859138943916295,-0.15355792846881236,-0.15912878648386142,-0.08820155339059464,-0.17143595658877206,-0.5356111903163002
02100,-0.12542718085978083,-0.12126116860989937,-0.08976155029994473,-0.041676338398154836,-0.04527841066632441,-0.022868671856043153
02105,-0.12542718085978077,-0.12126116860989934,-0.08976155029994462,-0.04167633839816045,-0.04527841066632384,-0.022868671855993204
02110,-0.12542718085978077,-0.12126116860989934,-0.08976155029994462,-0.04167633839816607,-0.04527841066631306,-0.022868671856025983
02122,-0.161740848654149,-0.004682350948577061,-0.2067433858851643,0.9068367275449938,0.1716223492476551,-0.003534705073986007
02130,-0.15766298154812025,-0.09468629523279648,-0.1878301155289944,-0.3047624690898309,0.8867052780023037,0.0956308672293495
02150,-0.12542718085978077,-0.12126116860989936,-0.08976155029994462,-0.04167633839816569,-0.0452784106663114,-0.022868671856032943
02158,-0.1254271808597808,-0.12126116860989936,-0.08976155029994463,-0.04167633839816569,-0.04527841066631141,-0.022868671856032943
02164,-0.1254271808597808,-0.12126116860989936,-0.08976155029994462,-0.04167633839816569,-0.045278410666311386,-0.022868671856032943
02170,-0.12542718085978077,-0.12126116860989936,-0.08976155029994462,-0.04167633839816569,-0.04527841066631141,-0.022868671856032943
02180,-0.1254271808597808,-0.12126116860989937,-0.0897615502999446,-0.04167633839816569,-0.045278410666311414,-0.02286867185603294
02185,-0.1254271808597808,-0.12126116860989937,-0.0897615502999446,-0.04167633839816568,-0.045278410666311414,-0.02286867185603294
02188,-0.1254271808597808,-0.12126116860989937,-0.08976155029994462,-0.04167633839816569,-0.04527841066631141,-0.022868671856032943
02195,-0.1254271808597808,-0.12126116860989937,-0.08976155029994462,-0.04167633839816569,-0.04527841066631141,-0.022868671856032943
02198,-0.1254271808597808,-0.12126116860989937,-0.08976155029994462,-0.04167633839816568,-0.045278410666311414,-0.022868671856032936
02220,-0.15766298154812028,-0.0946862952327965,-0.1878301155289943,-0.30476246908983085,0.8867052780023036,0.09563086722934973
02230,-0.1254271808597808,-0.12126116860989937,-0.08976155029994462,-0.04167633839816568,-0.045278410666311414,-0.022868671856032943
02240,-0.1254271808597808,-0.12126116860989937,-0.08976155029994462,-0.04167633839816568,-0.045278410666311414,-0.022868671856032943
02261,-0.1254271808597808,-0.12126116860989937,-0.08976155029994462,-0.04167633839816569,-0.04527841066631143,-0.022868671856032946
02275,-0.1254271808597808,-0.12126116860989937,-0.08976155029994462,-0.04167633839816569,-0.04527841066631143,-0.02286867185603295
02282,-0.1254271808597808,-0.12126116860989936,-0.08976155029994463,-0.04167633839816569,-0.04527841066631141,-0.022868671856032943
02290,-0.1254271808597808,-0.12126116860989936,-0.08976155029994463,-0.04167633839816569,-0.04527841066631141,-0.022868671856032943
01001,-0.3053727814368922,0.8393381484045045,0.10855772313391839,0.004166454575035557,-0.05791300657158318,-0.011858514791117424
01003,-0.30450209244332604,0.8275876286682088,0.10740251878665742,0.0029365795618009004,-0.05887895197421116,-0.013043902370431829
01005,-0.1254271808597808,-0.12126116860989936,-0.08976155029994463,-0.0416763383981657,-0.045278410666311414,-0.02286867185603294
01007,-0.1310033977909272,-0.12662744100742815,-0.10013528106080484,-0.045070269404545,-0.05514802441864437,-0.025271121927090526
01009,-0.1254271808597808,-0.1212611686098993,-0.08976155029994462,-0.0416763383981657,-0.0452784106663114,-0.02286867185603294
01011,-0.1254271808597808,-0.1212611686098993,-0.08976155029994462,-0.04167633839816569,-0.0452784106663114,-0.022868671856032943
01013,-0.30535583407236233,0.8393633503535053,0.10862184617959882,0.004212053083660751,-0.05770017724269775,-0.012664385713731031
01015,0.8029346671091455,0.19708849214676344,0.08359291201685574,-0.01553644475046845,-0.012414862524881666,-0.0072600599819584504
01017,-0.3053558340723623,0.8393633503535053,0.10862184617959895,0.0042120530836607635,-0.05770017724269769,-0.01266438571373103
01019,-0.1254271808597808,-0.12126116860989937,-0.08976155029994462,-0.0416763383981657,-0.045278410666311414,-0.02286867185603294
