component,eigenvalue
1,249.25294649075406
2,202.1959376348829
3,193.77790133621352
4,169.36643360888272
5,157.21155202689658
6,134.899652932414
7,116.4645256601945
8,84.29851324246421
9,70.99342516135478
10,67.26482947954013
11,61.43507928606285
12,54.99100987846015
13,53.63925282555442
14,53.42573047321005
15,51.488766681665496
16,49.31860671449231
17,43.698390457731385
18,42.95298345972595
19,35.861710589400815
20,28.700765771949364
21,25.53740137868055
22,24.510685755427005
23,22.536598161149488
24,21.799310727512243
25,18.862959081336985
26,17.89734697203367
27,17.126886735647687
28,15.673931599322042
29,15.162412484447128
30,14.875749635506565
31,13.106243291357504
32,11.502190378380487
33,10.872559314279139
34,10.509245878773694
35,9.821014948743535
36,9.693325104862305
37,9.399539032185526
38,9.288184829405203
39,8.967098033992617
40,8.260014356721406
41,8.155291525219482
42,7.577785394337322
43,7.062550498102413
44,6.965679165840643
45,6.7285564871817485
46,6.552512991098034
47,5.86954746158759
48,5.6840440449733105
49,5.510073573712029
50,5.26262433012268
51,5.082810832477448
52,4.99153152015275
53,4.762382700244499
54,4.661229716929147
55,4.504698797734596
56,4.1953341145352745
57,4.057628462346504
58,3.915451777438196
59,3.796839554790396
60,3.64315215381539
61,3.410644114135965
62,3.2277656803837935
63,3.013558068397739
64,2.5965580315765724
65,2.471939174720808
66,2.4345107335175213
67,2.365235060377125
68,1.9945998159349967
69,1.8864811821312253
70,1.8730818233592628
71,1.8404056896967231
72,1.766313876684322
73,1.7086791453341283
74,1.5698119983650303
75,1.532449100057385
76,1.4943654202021304
77,1.4818746867858168
78,1.4713226252811913
79,1.4668323794378888
80,1.4610260122505578
81,1.3124472841052033
82,1.3052344451803617
83,1.2888972570703263
84,1.253450580843111
85,1.2300788742844457
86,1.1932326343740747
87,1.1533440539164896
88,1.130822740576005
89,1.0693587609898094
90,1.0482093414381175
91,1.0474846561426405
92,1.0280234044518917
93,1.025745827681313
94,0.9729402103595263
95,0.9388388849185374
96,0.9167467105273981
97,0.899598461503247
98,0.863461243584542
99,0.8466671954319767
100,0.8223802263278441
101,0.8180937023087389
102,0.7737607040070682
103,0.7547546390872749
104,0.7184760468185737
105,0.6959820302784133
106,0.619338305306532
107,0.5913333731287258
108,0.586667766802256
109,0.5676538841220239
110,0.5303522739652166
111,0.47470927942480756
112,0.4637635967570209
113,0.42945753262959296
114,0.38010522504892297
115,0.3334996265163151
116,0.33102145224458573
117,0.32754935475647523
118,0.29423273094661084
119,0.28719527915440274
120,0.28213091870518875
121,0.2757672090334194
122,0.2666944273246182
123,0.2614953572052716
124,0.2611578747538446
125,0.2479730672913817
126,0.18971195053511103
127,0.18540188113942846
128,0.18227765981418464
129,0.16447536466760387
130,0.1428427775780299
131,0.14169298911245787
132,0.1382119434577568
133,0.1374158472609229
134,0.12861616683374122
135,0.12614010054385522
136,0.12245539275731064
137,0.1171729160207543
138,0.10858401200531237
139,0.10544870862418863
140,0.08635007804723409
141,0.07725936388637465
142,0.07141206449461894
143,0.06164853177789039
144,0.060165580081228076
145,0.0586592752028287
146,0.05704435081028822
147,0.052891687039621264
148,0.05159031697202952
149,0.048049252513205735
150,0.04324079056081083
151,0.03522945385714691
152,0.030899629165900413
153,0.02878725740975796
154,0.02831119896204925
155,0.027973567981102225
156,0.02561645448657306
157,0.025007178536933294
158,0.023979196662438314
159,0.023637610500949643
160,0.02361722182857806
161,0.02198412739710861
162,0.021552863336788828
163,0.021449390128393142
164,0.0186157071194264
165,0.016304985541478755
166,0.014600505859150034
167,0.014375864915460335
168,0.01314393717468429
169,0.012035935597437465
170,0.0119233981563198
171,0.01164217031399435
172,0.011199661164301334
173,0.010476592734021526
174,0.009122726170005995
175,0.009056509548271927
176,0.008190742156850044
177,0.007472024547155422
178,0.007168757604452076
179,0.006495789617075777
180,0.00639546803140257
181,0.005929321083384177
182,0.005514430451544313
183,0.005275969366196775
184,0.00508978951892207
185,0.005055799590232089
186,0.004691198219032701
187,0.004611303585862759
188,0.004573891036414733
189,0.004204311446674105
190,0.004020833142867192
191,0.003933771240982717
192,0.003058689231411874
193,0.0027361917100752332
194,0.0026713703562713255
195,0.0024992005541150802
196,0.0024343828134439677
197,0.0022789730409293195
198,0.0019589316059483008
199,0.0019407265489807723
200,0.0018934011383713114
201,0.0018719380153223316
202,0.0017847079395837532
203,0.0016224259146529704
204,0.0015876624840572237
205,0.0015056075464931218
206,0.0013869581934251353
207,0.0013504255014901993
208,0.0013446619323442806
209,0.0012924719758694728
210,0.0012477147143563853
211,0.0012104060655008797
212,0.0011288989063030443
213,0.0010662760542872536
214,0.0008405413211045613
215,0.0008278331329850629
216,0.0007511226137440695
217,0.0006492633018544658
218,0.0005933305677546749
219,0.0005831107723316468
220,0.0005656012807756526
221,0.0005095816273132994
222,0.0004929238975098733
223,0.0004851100444052347
224,0.00045715754531351806
225,0.00042973834681223847
226,0.00036963956531179456
227,0.0003640364758510314
228,0.0003416341568701777
229,0.0003266665587727466
230,0.00031548488703901845
231,0.0002996303729948681
232,0.00029500650619345505
233,0.00023754484981721585
234,0.0002331243834108143
235,0.00022083104418877064
236,0.0002178464144744098
237,0.00021026403808114017
238,0.00020260440449773996
239,0.00019977739265843332
240,0.00019194340501126856
241,0.00018510612360188156
242,0.0001756539645402047
243,0.00016893488392007952
244,0.00016594274067367135
245,0.00016277308450462442
246,0.00015715489444027747
247,0.00014929101748133004
248,0.00014009084623163844
249,0.00013846512809158822
250,0.00013063048328360963
251,0.00012834016487356468
252,0.000122202382204838
253,0.00011830479829395467
254,0.0001034693810533816
255,9.933304786322729e-05
256,8.780602683601847e-05
257,8.642864558891648e-05
258,8.542265100019243e-05
259,8.039190752766349e-05
260,7.043963024536403e-05
261,6.745899341537098e-05
262,6.653007468876475e-05
263,6.316476350313404e-05
264,6.284689768122406e-05
265,6.150523134874415e-05
266,5.627163501952022e-05
267,5.536697110328916e-05
268,5.445622969640749e-05
269,5.203485711813458e-05
270,5.1090192137866503e-05
271,5.0575915770413124e-05
272,4.475563583561452e-05
273,4.423358525141594e-05
274,4.370741533566018e-05
275,4.1666330429276365e-05
276,4.06130711300338e-05
277,3.492975174265989e-05
278,3.3687823379155694e-05
279,3.3207151416806105e-05
280,2.9118972217416082e-05
281,2.6181526485025212e-05
282,2.4272652834902105e-05
283,2.230260381627943e-05
284,2.1962044947643874e-05
285,2.0890347707532276e-05
286,2.0684307446475614e-05
287,2.0382169847962195e-05
288,1.78133752646775e-05
289,1.770158590699721e-05
290,1.5431379297405985e-05
291,1.4883694677510871e-05
292,1.4530548169420534e-05
293,1.350935807698765e-05
294,1.2991502644934504e-05
295,1.2732006891644627e-05
296,1.198602136197741e-05
297,1.1760687533006226e-05
298,1.134915042775554e-05
299,1.0728150614398918e-05
300,1.0204740788975854e-05
301,9.778406686544855e-06
302,9.620870165808442e-06
303,7.765275606769541e-06
304,6.557688416732293e-06
305,6.314443235499202e-06
306,6.095530434389226e-06
307,6.001892618793526e-06
308,5.773426399544019e-06
309,5.6046994196040425e-06
310,5.500234364537396e-06
311,4.819188030550344e-06
312,4.694662795290507e-06
313,4.582683691229421e-06
314,4.0020999843266465e-06
315,3.8875323579582916e-06
316,3.850939072875536e-06
317,3.6129732754264477e-06
318,3.5935309364865683e-06
319,2.9960916665478474e-06
320,2.8210088309695108e-06
321,2.6874925046762923e-06
322,2.5693822804902843e-06
323,2.237084405175426e-06
324,2.175048584267019e-06
325,2.0867867377512485e-06
326,2.001286439277636e-06
327,1.916327722152001e-06
328,1.7759065485628177e-06
329,1.7467440266321851e-06
330,1.677764085194804e-06
331,1.615115854809759e-06
332,1.3436620632102908e-06
333,1.2592796219274977e-06
334,1.2478442292485736e-06
335,1.2169942835086658e-06
336,1.0563937869136145e-06
337,1.040436470775872e-06
338,9.380057828600457e-07
339,9.234131830352026e-07
340,8.701888912993434e-07
341,8.286538780691635e-07
342,7.493590013540991e-07
343,5.631330073334953e-07
344,4.937414645751734e-07
345,4.597989058765439e-07
346,4.3614960703094953e-07
347,4.2216149134386713e-07
348,4.197479693383105e-07
349,4.0344303186516427e-07
350,3.648704316166241e-07
351,3.414372769618955e-07
352,3.3783950543765527e-07
353,3.2183610218566133e-07
354,2.9508530252096754e-07
355,2.7588320385520007e-07
356,2.3550503315123461e-07
357,2.2551134913740395e-07
358,2.0929521281782886e-07
359,1.973525859936273e-07
360,1.715636573022383e-07
361,1.6388962152771375e-07
362,1.5005425108880676e-07
363,1.433585692131342e-07
364,1.3854754321537386e-07
365,1.2753525497931753e-07
366,1.1656250131827063e-07
367,1.1484474532313875e-07
368,1.0455714881475816e-07
369,8.571910975674594e-08
370,8.39619758258073e-08
371,7.410445417070422e-08
372,7.159907022854792e-08
373,6.792555636346627e-08
374,6.165430999408795e-08
375,6.076693216283124e-08
376,5.9224128493949476e-08
377,5.843815537743353e-08
378,4.930948414788645e-08
379,4.856568522743415e-08
380,4.1484663328968604e-08
381,3.743594356246691e-08
382,3.410195727471329e-08
383,3.1602965415057375e-08
384,2.7242899998439642e-08
385,2.3680857836412838e-08
386,2.2987952987686668e-08
387,2.2579156612825694e-08
388,2.0952398528487516e-08
389,2.0574574893754246e-08
390,1.8590122380789447e-08
391,1.647977808603808e-08
392,1.5991607119820085e-08
393,1.3194094698465563e-08
394,1.0560335711031096e-08
395,8.471869853676691e-09
396,7.929530009184576e-09
397,7.636633581333432e-09
398,6.308293242527086e-09
399,6.248811958286361e-09
400,5.524508388479751e-09
401,3.8256938302496805e-09
402,3.0409013138728542e-09
403,2.9192364765021265e-09
404,2.797512508160406e-09
405,2.0310280648634272e-09
406,1.6452075829873348e-09
407,1.4567324442615854e-09
408,1.4326015017652368e-09
409,1.24688753000971e-09
410,1.0170075434772894e-09
411,9.60903823114135e-10
412,7.556817238331501e-10
413,7.433141801441966e-10
414,7.336518116407722e-10
415,7.184268608046077e-10
416,5.381583878648972e-10
417,5.24233269407694e-10
418,5.165146997941523e-10
419,3.5006988668900884e-10
420,3.181168121473623e-10
